geneId,geneName,locus,strand,chromosome
gene-CES2,CES2,NC_059174.1,+,18,
gene-CES3,CES3,NC_059174.1,+,18,
gene-CES4A,CES4A,NC_059174.1,+,18,
gene-CES5A,CES5A,NC_059174.1,+,18,
gene-CETN1,CETN1,NC_059178.1,-,22,
gene-CETN2,CETN2,NC_059181.1,+,X,
gene-CETN3,CETN3,NC_059165.1,+,9,
gene-CFAP100,CFAP100,NC_059177.1,+,21,
gene-CFAP107,CFAP107,NC_059161.1,+,5,
gene-CFAP119,CFAP119,NC_059180.1,+,24,
gene-CFAP126,CFAP126,NC_059162.1,+,6,
gene-CFAP141,CFAP141,NC_059162.1,+,6,
gene-CFAP157,CFAP157,NC_059168.1,+,12,
gene-CFAP161,CFAP161,NC_059176.1,-,20,
gene-CFAP20,CFAP20,NC_059174.1,-,18,
gene-CFAP206,CFAP206,NC_059166.1,+,10,
gene-CFAP20DC,CFAP20DC,NC_059177.1,+,21,
gene-CFAP210,CFAP210,NC_059158.1,+,2,
gene-CFAP221,CFAP221,NC_059158.1,+,2,
gene-CFAP251,CFAP251,NC_059173.1,+,17,
gene-CFAP276,CFAP276,NC_059162.1,+,6,
gene-CFAP298,CFAP298,NC_059157.1,+,1,
gene-CFAP299,CFAP299,NC_059163.1,-,7,
gene-CFAP300,CFAP300,NC_059172.1,+,16,
gene-CFAP36,CFAP36,NC_059168.1,+,12,
gene-CFAP410,CFAP410,NC_059157.1,-,1,
gene-CFAP418,CFAP418,NC_059171.1,-,15,
gene-CFAP43,CFAP43,NC_059179.1,-,23,
gene-CFAP44,CFAP44,NC_059157.1,-,1,
gene-CFAP45,CFAP45,NC_059162.1,+,6,
gene-CFAP46,CFAP46,NC_059179.1,-,23,
gene-CFAP47,CFAP47,NC_059181.1,+,X,
gene-CFAP52,CFAP52,NC_059159.1,-,3,
gene-CFAP54,CFAP54,NC_059160.1,-,4,
gene-CFAP57,CFAP57,NC_059162.1,-,6,
gene-CFAP58,CFAP58,NC_059179.1,+,23,
gene-CFAP61,CFAP61,NC_059170.1,-,14,
gene-CFAP69,CFAP69,NC_059164.1,+,8,
gene-CFAP70,CFAP70,NC_059160.1,-,4,
gene-CFAP73,CFAP73,NC_059173.1,-,17,
gene-CFAP74,CFAP74,NC_059161.1,-,5,
gene-CFAP77,CFAP77,NC_059168.1,+,12,
gene-CFAP91,CFAP91,NC_059157.1,+,1,
gene-CFAP92,CFAP92,NC_059177.1,-,21,
gene-CFAP95,CFAP95,NC_059159.1,+,3,
gene-CFAP97,CFAP97,NC_059157.1,+,1,
gene-CFAP97D1,CFAP97D1,NC_059159.1,-,3,
gene-CFAP97D2,CFAP97D2,NC_059169.1,-,13,
gene-CFAP99,CFAP99,NC_059163.1,+,7,
gene-CFB,CFB,NC_059158.1,+,2,
gene-CFD,CFD,NC_059165.1,-,9,
gene-CFH,CFH,NC_059161.1,+,5,
gene-CFHR5,CFHR5,NC_059161.1,-,5,
gene-CFI,CFI,NC_059163.1,+,7,
gene-CFL1,CFL1,NC_059161.1,-,5,
gene-CFL2,CFL2,NC_059176.1,+,20,
gene-CFLAR,CFLAR,NC_059158.1,+,2,
gene-CFTR,CFTR,NC_059164.1,-,8,
gene-CGA,CGA,NC_059166.1,-,10,
gene-CGAS,CGAS,NC_059166.1,+,10,
gene-CGGBP1,CGGBP1,NC_059157.1,-,1,
gene-CGN,CGN,NC_059162.1,-,6,
gene-CGNL1,CGNL1,NC_059167.1,+,11,
gene-CGREF1,CGREF1,NC_059168.1,+,12,
gene-CGRRF1,CGRRF1,NC_059167.1,-,11,
gene-CH25H,CH25H,NC_059179.1,-,23,
gene-CHAC1,CHAC1,NC_059167.1,-,11,
gene-CHAC2,CHAC2,NC_059168.1,+,12,
gene-CHAD,CHAD,NC_059159.1,-,3,
gene-CHADL,CHADL,NC_059160.1,+,4,
gene-CHAF1A,CHAF1A,NC_059165.1,+,9,
gene-CHAF1B,CHAF1B,NC_059157.1,+,1,
gene-CHAMP1,CHAMP1,NC_059169.1,-,13,
gene-CHAT,CHAT,NC_059160.1,+,4,
gene-CHCHD1,CHCHD1,NC_059160.1,+,4,
gene-CHCHD10,CHCHD10,NC_059173.1,+,17,
gene-CHCHD2,CHCHD2,NC_059180.1,+,24,
gene-CHCHD3,CHCHD3,NC_059164.1,-,8,
gene-CHCHD4,CHCHD4,NC_059177.1,+,21,
gene-CHCHD5,CHCHD5,NC_059168.1,+,12,
gene-CHCHD6,CHCHD6,NC_059177.1,-,21,
gene-CHCHD7,CHCHD7,NC_059171.1,-,15,
gene-CHD1,CHD1,NC_059165.1,+,9,
gene-CHD1L,CHD1L,NC_059162.1,-,6,
gene-CHD2,CHD2,NC_059176.1,+,20,
gene-CHD3,CHD3,NC_059159.1,-,3,
gene-CHD4,CHD4,NC_059160.1,-,4,
gene-CHD5,CHD5,NC_059161.1,-,5,
gene-CHD6,CHD6,NC_059170.1,+,14,
gene-CHD7,CHD7,NC_059171.1,-,15,
gene-CHD8,CHD8,NC_059167.1,-,11,
gene-CHD9,CHD9,NC_059174.1,+,18,
gene-CHDH,CHDH,NC_059177.1,+,21,
gene-CHEK1,CHEK1,NC_059161.1,+,5,
gene-CHEK2,CHEK2,NC_059173.1,+,17,
gene-CHFR,CHFR,NC_059173.1,-,17,
gene-CHGA,CHGA,NC_059176.1,-,20,
gene-CHGB,CHGB,NC_059170.1,-,14,
gene-CHI3L1,CHI3L1,NC_059161.1,+,5,
gene-CHI3L2,CHI3L2,NC_059162.1,-,6,
gene-CHIA,CHIA,NC_059162.1,-,6,
gene-CHIC1,CHIC1,NC_059181.1,+,X,
gene-CHIC2,CHIC2,NC_059163.1,+,7,
gene-CHID1,CHID1,NC_059161.1,+,5,
gene-CHIT1,CHIT1,NC_059161.1,+,5,
gene-CHKA,CHKA,NC_059161.1,-,5,
gene-CHKB,CHKB,NC_059160.1,+,4,
gene-CHL1,CHL1,NC_059177.1,-,21,
gene-CHM,CHM,NC_059181.1,-,X,
gene-CHML,CHML,NC_059161.1,-,5,
gene-CHMP1A,CHMP1A,NC_059174.1,-,18,
gene-CHMP1B,CHMP1B,NC_059178.1,-,22,
gene-CHMP2A,CHMP2A,NC_059174.1,-,18,
gene-CHMP2B,CHMP2B,NC_059157.1,+,1,
gene-CHMP4A,CHMP4A,NC_059167.1,-,11,
gene-CHMP4B,CHMP4B,NC_059170.1,-,14,
gene-CHMP4C,CHMP4C,NC_059171.1,+,15,
gene-CHMP5,CHMP5,NC_059159.1,+,3,
gene-CHMP6,CHMP6,NC_059159.1,+,3,
gene-CHMP7,CHMP7,NC_059159.1,+,3,
gene-CHN1,CHN1,NC_059158.1,+,2,
gene-CHN2,CHN2,NC_059164.1,-,8,
gene-CHODL,CHODL,NC_059157.1,-,1,
gene-CHORDC1,CHORDC1,NC_059161.1,+,5,
gene-CHP1,CHP1,NC_059167.1,-,11,
gene-CHP2,CHP2,NC_059180.1,-,24,
gene-CHPF,CHPF,NC_059158.1,-,2,
gene-CHPF2,CHPF2,NC_059164.1,+,8,
gene-CHPT1,CHPT1,NC_059160.1,-,4,
gene-CHRAC1,CHRAC1,NC_059171.1,+,15,
gene-CHRD,CHRD,NC_059157.1,-,1,
gene-CHRDL1,CHRDL1,NC_059181.1,+,X,
gene-CHRDL2,CHRDL2,NC_059172.1,+,16,
gene-CHRM1,CHRM1,NC_059161.1,-,5,
gene-CHRM2,CHRM2,NC_059164.1,+,8,
gene-CHRM3,CHRM3,NC_059160.1,+,4,
gene-CHRM4,CHRM4,NC_059172.1,+,16,
gene-CHRM5,CHRM5,NC_059167.1,+,11,
gene-CHRNA1,CHRNA1,NC_059158.1,+,2,
gene-CHRNA10,CHRNA10,NC_059172.1,-,16,
gene-CHRNA2,CHRNA2,NC_059159.1,-,3,
gene-CHRNA3,CHRNA3,NC_059176.1,+,20,
gene-CHRNA4,CHRNA4,NC_059170.1,-,14,
gene-CHRNA5,CHRNA5,NC_059176.1,-,20,
gene-CHRNA6,CHRNA6,NC_059157.1,+,1,
gene-CHRNA9,CHRNA9,NC_059163.1,-,7,
gene-CHRNB1,CHRNB1,NC_059159.1,-,3,
gene-CHRNB2,CHRNB2,NC_059162.1,-,6,
gene-CHRNB3,CHRNB3,NC_059157.1,-,1,
gene-CHRNB4,CHRNB4,NC_059176.1,+,20,
gene-CHRND,CHRND,NC_059158.1,+,2,
gene-CHRNE,CHRNE,NC_059159.1,-,3,
gene-CHRNG,CHRNG,NC_059158.1,+,2,
gene-CHST1,CHST1,NC_059172.1,+,16,
gene-CHST10,CHST10,NC_059168.1,-,12,
gene-CHST11,CHST11,NC_059160.1,-,4,
gene-CHST12,CHST12,NC_059180.1,+,24,
gene-CHST13,CHST13,NC_059177.1,-,21,
gene-CHST14,CHST14,NC_059167.1,-,11,
gene-CHST15,CHST15,NC_059179.1,-,23,
gene-CHST2,CHST2,NC_059157.1,-,1,
gene-CHST3,CHST3,NC_059160.1,+,4,
gene-CHST4,CHST4,NC_059174.1,-,18,
gene-CHST6,CHST6,NC_059174.1,-,18,
gene-CHST7,CHST7,NC_059181.1,-,X,
gene-CHST8,CHST8,NC_059174.1,+,18,
gene-CHST9,CHST9,NC_059178.1,-,22,
gene-CHSY1,CHSY1,NC_059176.1,-,20,
gene-CHSY3,CHSY3,NC_059165.1,+,9,
gene-CHTF18,CHTF18,NC_059180.1,-,24,
gene-CHTF8,CHTF8,NC_059174.1,-,18,
gene-CHUK,CHUK,NC_059179.1,-,23,
gene-CHURC1,CHURC1,NC_059167.1,-,11,
gene-CIAO1,CIAO1,NC_059168.1,+,12,
gene-CIAO2A,CIAO2A,NC_059167.1,-,11,
gene-CIAO2B,CIAO2B,NC_059174.1,-,18,
gene-CIAO3,CIAO3,NC_059180.1,+,24,
gene-CIAPIN1,CIAPIN1,NC_059174.1,-,18,
gene-CIART,CIART,NC_059162.1,-,6,
gene-CIB1,CIB1,NC_059176.1,+,20,
gene-CIB2,CIB2,NC_059176.1,+,20,
gene-CIB3,CIB3,NC_059165.1,-,9,
gene-CIB4,CIB4,NC_059168.1,+,12,
gene-CIBAR1,CIBAR1,NC_059171.1,+,15,
gene-CIBAR2,CIBAR2,NC_059174.1,-,18,
gene-CIC,CIC,NC_059174.1,-,18,
gene-CIDEA,CIDEA,NC_059178.1,-,22,
gene-CIDEB,CIDEB,NC_059167.1,-,11,
gene-CIDEC,CIDEC,NC_059177.1,+,21,
gene-CIITA,CIITA,NC_059180.1,-,24,
gene-CILK1,CILK1,NC_059158.1,+,2,
gene-CILP2,CILP2,NC_059165.1,+,9,
gene-CIP2A,CIP2A,NC_059157.1,-,1,
gene-CIPC,CIPC,NC_059167.1,-,11,
gene-CIR1,CIR1,NC_059158.1,+,2,
gene-CISD1,CISD1,NC_059179.1,-,23,
gene-CISD2,CISD2,NC_059163.1,-,7,
gene-CISD3,CISD3,NC_059159.1,-,3,
gene-CISH,CISH,NC_059177.1,+,21,
gene-CIT,CIT,NC_059173.1,-,17,
gene-CITED1,CITED1,NC_059181.1,-,X,
gene-CITED2,CITED2,NC_059166.1,+,10,
gene-CITED4,CITED4,NC_059162.1,+,6,
gene-CIZ1,CIZ1,NC_059168.1,-,12,
gene-CKAP2,CKAP2,NC_059169.1,+,13,
gene-CKAP2L,CKAP2L,NC_059168.1,-,12,
gene-CKAP4,CKAP4,NC_059160.1,+,4,
gene-CKAP5,CKAP5,NC_059172.1,+,16,
gene-CKB,CKB,NC_059176.1,+,20,
gene-CKM,CKM,NC_059174.1,-,18,
gene-CKMT2,CKMT2,NC_059165.1,-,9,
gene-CKS1B,CKS1B,NC_059162.1,-,6,
gene-CKS2,CKS2,NC_059159.1,-,3,
gene-CLASP1,CLASP1,NC_059158.1,-,2,
gene-CLASP2,CLASP2,NC_059177.1,-,21,
gene-CLBA1,CLBA1,NC_059176.1,-,20,
gene-CLCA1,CLCA1,NC_059162.1,-,6,
gene-CLCA2,CLCA2,NC_059162.1,-,6,
gene-CLCA4,CLCA4,NC_059162.1,-,6,
gene-CLCC1,CLCC1,NC_059162.1,+,6,
gene-CLCF1,CLCF1,NC_059161.1,-,5,
gene-CLCN1,CLCN1,NC_059164.1,+,8,
gene-CLCN2,CLCN2,NC_059157.1,+,1,
gene-CLCN3,CLCN3,NC_059159.1,+,3,
gene-CLCN4,CLCN4,NC_059181.1,-,X,
gene-CLCN5,CLCN5,NC_059181.1,-,X,
gene-CLCN6,CLCN6,NC_059161.1,+,5,
gene-CLCN7,CLCN7,NC_059180.1,+,24,
gene-CLDN1,CLDN1,NC_059157.1,+,1,
gene-CLDN10,CLDN10,NC_059169.1,-,13,
gene-CLDN11,CLDN11,NC_059157.1,-,1,
gene-CLDN12,CLDN12,NC_059164.1,+,8,
gene-CLDN14,CLDN14,NC_059157.1,-,1,
gene-CLDN15,CLDN15,NC_059180.1,-,24,
gene-CLDN16,CLDN16,NC_059157.1,-,1,
gene-CLDN17,CLDN17,NC_059157.1,+,1,
gene-CLDN18,CLDN18,NC_059157.1,-,1,
gene-CLDN19,CLDN19,NC_059162.1,+,6,
gene-CLDN2,CLDN2,NC_059181.1,-,X,
gene-CLDN20,CLDN20,NC_059166.1,-,10,
gene-CLDN23,CLDN23,NC_059157.1,-,1,
gene-CLDN25,CLDN25,NC_059172.1,-,16,
gene-CLDN3,CLDN3,NC_059180.1,-,24,
gene-CLDN34,CLDN34,NC_059181.1,-,X,
gene-CLDN4,CLDN4,NC_059180.1,+,24,
gene-CLDN5,CLDN5,NC_059173.1,+,17,
gene-CLDN6,CLDN6,NC_059180.1,+,24,
gene-CLDN7,CLDN7,NC_059159.1,+,3,
gene-CLDN8,CLDN8,NC_059157.1,+,1,
gene-CLDN9,CLDN9,NC_059180.1,-,24,
gene-CLDND1,CLDND1,NC_059157.1,-,1,
gene-CLDND2,CLDND2,NC_059174.1,-,18,
gene-CLEC11A,CLEC11A,NC_059174.1,+,18,
gene-CLEC12A,CLEC12A,NC_059160.1,-,4,
gene-CLEC12B,CLEC12B,NC_059160.1,-,4,
gene-CLEC14A,CLEC14A,NC_059176.1,+,20,
gene-CLEC16A,CLEC16A,NC_059180.1,-,24,
gene-CLEC17A,CLEC17A,NC_059165.1,+,9,
gene-CLEC19A,CLEC19A,NC_059180.1,+,24,
gene-CLEC1A,CLEC1A,NC_059160.1,-,4,
gene-CLEC1B,CLEC1B,NC_059160.1,+,4,
gene-CLEC2A,CLEC2A,NC_059160.1,-,4,
gene-CLEC2L,CLEC2L,NC_059164.1,+,8,
gene-CLEC3A,CLEC3A,NC_059174.1,+,18,
gene-CLEC3B,CLEC3B,NC_059177.1,-,21,
gene-CLEC4D,CLEC4D,NC_059160.1,-,4,
gene-CLEC4E,CLEC4E,NC_059160.1,+,4,
gene-CLEC4F,CLEC4F,NC_059168.1,+,12,
gene-CLEC4G,CLEC4G,NC_059165.1,+,9,
gene-CLEC5A,CLEC5A,NC_059164.1,-,8,
gene-CLEC6A,CLEC6A,NC_059160.1,-,4,
gene-CLEC7A,CLEC7A,NC_059160.1,-,4,
gene-CLEC9A,CLEC9A,NC_059160.1,+,4,
gene-CLECL1,CLECL1,NC_059160.1,-,4,
gene-CLGN,CLGN,NC_059173.1,-,17,
gene-CLHC1,CLHC1,NC_059168.1,-,12,
gene-CLIC1,CLIC1,NC_059158.1,-,2,
gene-CLIC2,CLIC2,NC_059181.1,-,X,
gene-CLIC3,CLIC3,NC_059168.1,-,12,
gene-CLIC4,CLIC4,NC_059158.1,-,2,
gene-CLIC5,CLIC5,NC_059158.1,+,2,
gene-CLIC6,CLIC6,NC_059157.1,-,1,
gene-CLINT1,CLINT1,NC_059165.1,+,9,
gene-CLIP1,CLIP1,NC_059173.1,-,17,
gene-CLIP2,CLIP2,NC_059180.1,+,24,
gene-CLIP3,CLIP3,NC_059174.1,-,18,
gene-CLIP4,CLIP4,NC_059168.1,-,12,
gene-CLK1,CLK1,NC_059158.1,-,2,
gene-CLK2,CLK2,NC_059162.1,+,6,
gene-CLK3,CLK3,NC_059176.1,+,20,
gene-CLK4,CLK4,NC_059165.1,+,9,
gene-CLMN,CLMN,NC_059176.1,+,20,
gene-CLN3,CLN3,NC_059180.1,+,24,
gene-CLN5,CLN5,NC_059169.1,-,13,
gene-CLN6,CLN6,NC_059167.1,+,11,
gene-CLN8,CLN8,NC_059157.1,-,1,
gene-CLNK,CLNK,NC_059163.1,+,7,
gene-CLNS1A,CLNS1A,NC_059161.1,+,5,
gene-CLOCK,CLOCK,NC_059163.1,+,7,
gene-CLP1,CLP1,NC_059172.1,-,16,
gene-CLPB,CLPB,NC_059172.1,+,16,
gene-CLPS,CLPS,NC_059158.1,+,2,
gene-CLPSL2,CLPSL2,NC_059158.1,-,2,
gene-CLPTM1,CLPTM1,NC_059174.1,+,18,
gene-CLPTM1L,CLPTM1L,NC_059175.1,+,19,
gene-CLPX,CLPX,NC_059167.1,+,11,
gene-CLRN1,CLRN1,NC_059157.1,+,1,
gene-CLRN2,CLRN2,NC_059163.1,-,7,
gene-CLRN3,CLRN3,NC_059179.1,-,23,
gene-CLSPN,CLSPN,NC_059162.1,+,6,
gene-CLSTN1,CLSTN1,NC_059161.1,-,5,
gene-CLSTN2,CLSTN2,NC_059157.1,-,1,
gene-CLSTN3,CLSTN3,NC_059160.1,+,4,
gene-CLTA,CLTA,NC_059159.1,+,3,
gene-CLTB,CLTB,NC_059165.1,+,9,
gene-CLTC,CLTC,NC_059159.1,-,3,
gene-CLTRN,CLTRN,NC_059181.1,-,X,
gene-CLU,CLU,NC_059159.1,+,3,
gene-CLUAP1,CLUAP1,NC_059180.1,-,24,
gene-CLUH,CLUH,NC_059159.1,+,3,
gene-CLUL1,CLUL1,NC_059178.1,-,22,
gene-CLVS1,CLVS1,NC_059171.1,-,15,
gene-CLVS2,CLVS2,NC_059166.1,+,10,
gene-CLYBL,CLYBL,NC_059169.1,-,13,
gene-CMAS,CMAS,NC_059160.1,+,4,
gene-CMBL,CMBL,NC_059175.1,+,19,
gene-CMC1,CMC1,NC_059177.1,+,21,
gene-CMC2,CMC2,NC_059174.1,-,18,
gene-CMC4,CMC4,NC_059181.1,-,X,
gene-CMKLR1,CMKLR1,NC_059173.1,-,17,
gene-CMKLR2,CMKLR2,NC_059158.1,-,2,
gene-CMPK1,CMPK1,NC_059162.1,-,6,
gene-CMPK2,CMPK2,NC_059168.1,+,12,
gene-CMSS1,CMSS1,NC_059157.1,+,1,
gene-CMTM2,CMTM2,NC_059174.1,+,18,
gene-CMTM3,CMTM3,NC_059174.1,+,18,
gene-CMTM4,CMTM4,NC_059174.1,-,18,
gene-CMTM5,CMTM5,NC_059167.1,+,11,
gene-CMTM6,CMTM6,NC_059177.1,-,21,
gene-CMTM7,CMTM7,NC_059177.1,+,21,
gene-CMTM8,CMTM8,NC_059177.1,+,21,
gene-CMTR1,CMTR1,NC_059158.1,-,2,
gene-CMTR2,CMTR2,NC_059174.1,+,18,
gene-CMYA5,CMYA5,NC_059167.1,-,11,
gene-CNBD2,CNBD2,NC_059170.1,-,14,
gene-CNDP1,CNDP1,NC_059178.1,+,22,
gene-CNDP2,CNDP2,NC_059178.1,+,22,
gene-CNEP1R1,CNEP1R1,NC_059174.1,+,18,
gene-CNFN,CNFN,NC_059174.1,+,18,
gene-CNGA1,CNGA1,NC_059163.1,+,7,
gene-CNGA2,CNGA2,NC_059181.1,-,X,
gene-CNGA3,CNGA3,NC_059168.1,+,12,
gene-CNGA4,CNGA4,NC_059172.1,+,16,
gene-CNGB1,CNGB1,NC_059174.1,-,18,
gene-CNGB3,CNGB3,NC_059171.1,-,15,
gene-CNIH1,CNIH1,NC_059167.1,+,11,
gene-CNIH2,CNIH2,NC_059161.1,+,5,
gene-CNIH3,CNIH3,NC_059161.1,-,5,
gene-CNIH4,CNIH4,NC_059161.1,-,5,
gene-CNKSR1,CNKSR1,NC_059158.1,-,2,
gene-CNKSR2,CNKSR2,NC_059181.1,+,X,
gene-CNKSR3,CNKSR3,NC_059166.1,+,10,
gene-CNMD,CNMD,NC_059169.1,-,13,
gene-CNN1,CNN1,NC_059165.1,-,9,
gene-CNN2,CNN2,NC_059165.1,-,9,
gene-CNN3,CNN3,NC_059162.1,+,6,
gene-CNNM1,CNNM1,NC_059179.1,+,23,
gene-CNNM2,CNNM2,NC_059179.1,+,23,
gene-CNNM3,CNNM3,NC_059168.1,+,12,
gene-CNNM4,CNNM4,NC_059168.1,+,12,
gene-CNOT1,CNOT1,NC_059174.1,-,18,
gene-CNOT10,CNOT10,NC_059177.1,+,21,
gene-CNOT11,CNOT11,NC_059168.1,+,12,
gene-CNOT2,CNOT2,NC_059160.1,+,4,
gene-CNOT3,CNOT3,NC_059174.1,-,18,
gene-CNOT4,CNOT4,NC_059164.1,-,8,
gene-CNOT6,CNOT6,NC_059165.1,+,9,
gene-CNOT6L,CNOT6L,NC_059163.1,+,7,
gene-CNOT7,CNOT7,NC_059157.1,-,1,
gene-CNOT8,CNOT8,NC_059165.1,-,9,
gene-CNOT9,CNOT9,NC_059158.1,+,2,
gene-CNPPD1,CNPPD1,NC_059158.1,-,2,
gene-CNPY1,CNPY1,NC_059164.1,-,8,
gene-CNPY2,CNPY2,NC_059160.1,-,4,
gene-CNPY3,CNPY3,NC_059158.1,-,2,
gene-CNPY4,CNPY4,NC_059180.1,+,24,
gene-CNR1,CNR1,NC_059166.1,-,10,
gene-CNR2,CNR2,NC_059158.1,+,2,
gene-CNST,CNST,NC_059161.1,+,5,
gene-CNTD1,CNTD1,NC_059159.1,-,3,
gene-CNTF,CNTF,NC_059172.1,-,16,
gene-CNTFR,CNTFR,NC_059159.1,-,3,
gene-CNTLN,CNTLN,NC_059159.1,-,3,
gene-CNTN1,CNTN1,NC_059160.1,+,4,
gene-CNTN2,CNTN2,NC_059161.1,-,5,
gene-CNTN3,CNTN3,NC_059177.1,+,21,
gene-CNTN4,CNTN4,NC_059177.1,-,21,
gene-CNTN5,CNTN5,NC_059172.1,+,16,
gene-CNTN6,CNTN6,NC_059177.1,-,21,
gene-CNTNAP1,CNTNAP1,NC_059159.1,-,3,
gene-CNTNAP2,CNTNAP2,NC_059164.1,+,8,
gene-CNTNAP4,CNTNAP4,NC_059174.1,+,18,
gene-CNTNAP5,CNTNAP5,NC_059158.1,+,2,
gene-CNTRL,CNTRL,NC_059159.1,+,3,
gene-CNTROB,CNTROB,NC_059159.1,-,3,
gene-COASY,COASY,NC_059159.1,-,3,
gene-COBL,COBL,NC_059164.1,+,8,
gene-COBLL1,COBLL1,NC_059158.1,+,2,
gene-COCH,COCH,NC_059176.1,-,20,
gene-COG1,COG1,NC_059159.1,+,3,
gene-COG2,COG2,NC_059160.1,-,4,
gene-COG3,COG3,NC_059169.1,-,13,
gene-COG4,COG4,NC_059174.1,+,18,
gene-COG5,COG5,NC_059164.1,-,8,
gene-COG6,COG6,NC_059169.1,+,13,
gene-COG7,COG7,NC_059180.1,+,24,
gene-COG8,COG8,NC_059174.1,-,18,
gene-COIL,COIL,NC_059159.1,+,3,
gene-COL10A1,COL10A1,NC_059166.1,-,10,
gene-COL11A1,COL11A1,NC_059162.1,+,6,
gene-COL11A2,COL11A2,NC_059158.1,+,2,
gene-COL12A1,COL12A1,NC_059166.1,+,10,
gene-COL13A1,COL13A1,NC_059160.1,+,4,
gene-COL14A1,COL14A1,NC_059171.1,-,15,
gene-COL15A1,COL15A1,NC_059159.1,+,3,
gene-COL16A1,COL16A1,NC_059158.1,+,2,
gene-COL17A1,COL17A1,NC_059179.1,-,23,
gene-COL18A1,COL18A1,NC_059157.1,+,1,
gene-COL19A1,COL19A1,NC_059166.1,-,10,
gene-COL1A1,COL1A1,NC_059159.1,-,3,
gene-COL1A2,COL1A2,NC_059164.1,+,8,
gene-COL20A1,COL20A1,NC_059170.1,+,14,
gene-COL21A1,COL21A1,NC_059158.1,-,2,
gene-COL22A1,COL22A1,NC_059171.1,-,15,
gene-COL23A1,COL23A1,NC_059165.1,+,9,
gene-COL24A1,COL24A1,NC_059162.1,+,6,
gene-COL25A1,COL25A1,NC_059163.1,+,7,
gene-COL26A1,COL26A1,NC_059180.1,+,24,
gene-COL27A1,COL27A1,NC_059159.1,+,3,
gene-COL28A1,COL28A1,NC_059164.1,-,8,
gene-COL2A1,COL2A1,NC_059160.1,-,4,
gene-COL3A1,COL3A1,NC_059158.1,-,2,
gene-COL4A1,COL4A1,NC_059169.1,+,13,
gene-COL4A2,COL4A2,NC_059169.1,-,13,
gene-COL4A3,COL4A3,NC_059158.1,+,2,
gene-COL4A4,COL4A4,NC_059158.1,-,2,
gene-COL4A5,COL4A5,NC_059181.1,-,X,
gene-COL4A6,COL4A6,NC_059181.1,+,X,
gene-COL5A1,COL5A1,NC_059168.1,+,12,
gene-COL5A2,COL5A2,NC_059158.1,+,2,
gene-COL5A3,COL5A3,NC_059165.1,+,9,
gene-COL6A1,COL6A1,NC_059157.1,+,1,
gene-COL6A2,COL6A2,NC_059157.1,+,1,
gene-COL6A3,COL6A3,NC_059162.1,-,6,
gene-COL6A5,COL6A5,NC_059157.1,-,1,
gene-COL7A1,COL7A1,NC_059177.1,+,21,
gene-COL8A1,COL8A1,NC_059157.1,+,1,
gene-COL8A2,COL8A2,NC_059162.1,+,6,
gene-COL9A1,COL9A1,NC_059166.1,+,10,
gene-COL9A2,COL9A2,NC_059162.1,+,6,
gene-COL9A3,COL9A3,NC_059170.1,+,14,
gene-COLCA2,COLCA2,NC_059172.1,-,16,
gene-COLEC10,COLEC10,NC_059171.1,+,15,
gene-COLEC11,COLEC11,NC_059159.1,-,3,
gene-COLEC12,COLEC12,NC_059178.1,+,22,
gene-COLGALT1,COLGALT1,NC_059165.1,+,9,
gene-COLGALT2,COLGALT2,NC_059161.1,+,5,
gene-COLQ,COLQ,NC_059157.1,-,1,
gene-COMMD1,COMMD1,NC_059168.1,+,12,
gene-COMMD10,COMMD10,NC_059165.1,+,9,
gene-COMMD2,COMMD2,NC_059157.1,+,1,
gene-COMMD3,COMMD3,NC_059170.1,-,14,
gene-COMMD4,COMMD4,NC_059176.1,+,20,
gene-COMMD5,COMMD5,NC_059171.1,+,15,
gene-COMMD6,COMMD6,NC_059169.1,+,13,
gene-COMMD7,COMMD7,NC_059170.1,+,14,
gene-COMMD8,COMMD8,NC_059163.1,+,7,
gene-COMMD9,COMMD9,NC_059172.1,+,16,
gene-COMTD1,COMTD1,NC_059160.1,-,4,
gene-COP1,COP1,NC_059161.1,+,5,
gene-COPA,COPA,NC_059162.1,+,6,
gene-COPB1,COPB1,NC_059172.1,-,16,
gene-COPB2,COPB2,NC_059157.1,+,1,
gene-COPE,COPE,NC_059165.1,-,9,
gene-COPG1,COPG1,NC_059177.1,+,21,
gene-COPG2,COPG2,NC_059164.1,-,8,
gene-COPRS,COPRS,NC_059159.1,-,3,
gene-COPS2,COPS2,NC_059167.1,-,11,
gene-COPS3,COPS3,NC_059159.1,-,3,
gene-COPS4,COPS4,NC_059163.1,-,7,
gene-COPS5,COPS5,NC_059171.1,+,15,
gene-COPS6,COPS6,NC_059180.1,+,24,
gene-COPS7A,COPS7A,NC_059160.1,+,4,
gene-COPS7B,COPS7B,NC_059158.1,+,2,
gene-COPS8,COPS8,NC_059162.1,+,6,
gene-COPS9,COPS9,NC_059162.1,-,6,
gene-COPZ1,COPZ1,NC_059160.1,+,4,
gene-COPZ2,COPZ2,NC_059159.1,-,3,
gene-COQ10A,COQ10A,NC_059160.1,+,4,
gene-COQ10B,COQ10B,NC_059158.1,+,2,
gene-COQ2,COQ2,NC_059163.1,+,7,
gene-COQ3,COQ3,NC_059166.1,-,10,
gene-COQ4,COQ4,NC_059168.1,+,12,
gene-COQ5,COQ5,NC_059173.1,+,17,
gene-COQ6,COQ6,NC_059167.1,-,11,
